[8-Jul-2014 11:17:03 AM] Laz said:	[;tem 4121]
[8-Jul-2014 3:38:13 PM] Laz said:	[kk]
[8-Jul-2014 3:38:13 PM] Laz said:	[watch]
[8-Jul-2014 3:38:27 PM] Laz said:	[fk laggy]
[8-Jul-2014 3:41:29 PM] Laz said:	[ey]
[8-Jul-2014 3:41:29 PM] Laz said:	[hey]
[8-Jul-2014 3:41:31 PM] Laz said:	[hey]
[8-Jul-2014 3:41:31 PM] Laz said:	[hey]
[8-Jul-2014 3:41:32 PM] Laz said:	[hey]
[8-Jul-2014 3:41:32 PM] Laz said:	[hey]
[8-Jul-2014 3:41:35 PM] Laz said:	[hey7]
[8-Jul-2014 3:41:36 PM] Laz said:	[hey]
[8-Jul-2014 3:41:38 PM] Laz said:	[hey]
[8-Jul-2014 3:41:39 PM] Laz said:	[hey]
[8-Jul-2014 3:41:40 PM] Laz said:	[hey]
[8-Jul-2014 3:41:40 PM] Laz said:	[j]
[8-Jul-2014 3:41:41 PM] Laz said:	[j]
[8-Jul-2014 3:41:42 PM] Laz said:	[j]
[8-Jul-2014 3:41:42 PM] Laz said:	[j]
[8-Jul-2014 3:41:42 PM] Laz said:	[j]
[8-Jul-2014 3:41:43 PM] Laz said:	[j]
[8-Jul-2014 3:41:43 PM] Laz said:	[j]
[8-Jul-2014 3:41:45 PM] Laz said:	[j]
[8-Jul-2014 3:51:45 PM] Laz said:	[ayyy]
[8-Jul-2014 3:51:46 PM] Laz said:	[l0l]
