[7-Aug-2014 1:09:21 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:09:21 PM] Guard dropped 2x [itemId=554, name=Fire rune] for Mod T
[7-Aug-2014 1:10:10 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:10:10 PM] Guard dropped 11x [itemId=9140, name=Iron bolts] for Mod T
[7-Aug-2014 1:10:48 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:10:48 PM] Guard dropped 1x [itemId=1446, name=Body talisman] for Mod T
[7-Aug-2014 1:11:32 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:11:32 PM] Guard dropped 1x [itemId=1446, name=Body talisman] for Mod T
[7-Aug-2014 1:16:27 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:16:27 PM] Guard dropped 5x [itemId=5318, name=Potato seed] for Mod T
[7-Aug-2014 1:18:01 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:18:01 PM] Guard dropped 2x [itemId=5321, name=Watermelon seed] for Mod T
[7-Aug-2014 1:18:13 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:18:13 PM] Guard dropped 2x [itemId=554, name=Fire rune] for Mod T
[7-Aug-2014 1:34:52 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:34:52 PM] Guard dropped 3x [itemId=5322, name=Tomato seed] for Mod T
[7-Aug-2014 1:35:38 PM] Guard dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:35:38 PM] Guard dropped 6x [itemId=556, name=Air rune] for Mod T
[7-Aug-2014 1:36:25 PM] Hellhound dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:36:45 PM] Hellhound dropped 1x [itemId=526, name=Bones] for Mod T
[7-Aug-2014 1:37:06 PM] Hellhound dropped 1x [itemId=7237, name=Rewards Casket] for Mod T
[7-Aug-2014 1:37:06 PM] Hellhound dropped 1x [itemId=526, name=Bones] for Mod T
