//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
//Chaos dwarf hand cannoneer
8800 - 1220 12177 12173 12181 6 1 60 110 RANGE -1 -1 AGRESSIVE
//Giant spider
4400 - 500 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE
//Man
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Guard
298 - 220 7218 7221 7219 3 1 60 10 MELEE -1 -1 PASSIVE
//Guard
299 - 220 7218 7221 7219 3 1 60 10 MELEE -1 -1 PASSIVE
//Guard
3407 - 220 7218 7221 7219 3 1 60 10 MELEE -1 -1 PASSIVE
//Guard
3408 - 220 7218 7221 7219 3 1 60 10 MELEE -1 -1 PASSIVE
//Me
4510 - 2000 422 425 836 5 1 60 10 MELEE -1 -1 AGRESSIVE
//Spider
4401 - 220 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//Skeleton
1471 - 1100 5519 5520 5521 3 1 60 15 MELEE -1 -1 AGRESSIVE
//Man
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Scorpion
4402 - 550 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Man
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Scorpion
4403 - 370 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//Woman
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Minotaur
4404 - 100 -1 -1 -1 6 1 60 24 MELEE -1 -1 PASSIVE
//Woman
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Woman
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Minotaur
4406 - 220 -1 -1 -1 6 1 60 24 MELEE -1 -1 PASSIVE
//Farmer
7 - 120 -1 -1 -1 4 1 60 19 MELEE -1 -1 PASSIVE
//Goblin
4407 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Thief
8 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Goblin
4408 - 120 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Guard
9 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Goblin
4409 - 67 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Goblin
4410 - 170 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Goblin
4411 - 170 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Goblin
4412 - 170 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Trade floor guard
8813 - 700 -1 -1 -1 4 1 60 164 MELEE -1 -1 PASSIVE
//Wizard
13 - 140 -1 -1 -1 4 1 60 40 MAGE -1 -1 PASSIVE
//Rat
4415 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE
//Man
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//White Knight
19 - 530 -1 -1 -1 8 1 60 60 MELEE -1 -1 PASSIVE
//Ghost
4387 - 800 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Al-Kharid warrior
18 - 190 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//Hero
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE
//Flesh Crawler
4389 - 260 -1 -1 -1 4 1 60 16 MELEE -1 -1 AGRESSIVE
//Paladin
20 - 660 -1 -1 -1 5 1 60 89 MELEE -1 -1 PASSIVE
//Ghost
4388 - 800 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Flesh Crawler
4391 - 260 -1 -1 -1 4 1 60 16 MELEE -1 -1 AGRESSIVE
//Flesh Crawler
4390 - 260 -1 -1 -1 4 1 60 16 MELEE -1 -1 AGRESSIVE
//Woman
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE
//Zombie
4393 - 680 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Man
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Zombie
4392 - 400 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
//Giant rat
4395 - 260 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Zombie
4394 - 920 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE
